Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08
0b_100p_a_b1_c2,4.798923,7.029674,8.087572,9.434968,8.761093,8.633867,10.43478,16.98532,5.777998,6.108691,4.474534,4.252693,3.929617,3.66975,4.525203,7.72623
0b_100p_b_b1_c2,5.089366,7.545462,8.813238,10.25113,9.43658,9.202821,11.03453,18.00592,5.94879,6.213444,4.815962,4.81071,4.353456,3.998696,4.883906,8.418646
0b_100p_c_b1_c2,4.818494,7.095513,8.25163,9.418655,8.355871,8.144382,9.809785,16.2132,5.976457,6.28518,4.708193,4.497326,3.869359,3.540335,4.385139,7.675199
0b_100p_d_b1_c2,4.788604,7.094373,8.263358,9.401796,8.371522,8.227861,9.832075,15.89078,5.923006,6.262575,4.69112,4.512602,3.898631,3.622383,4.467577,7.565349
0b_100p_e_b1_c2,4.845274,7.261134,8.881447,9.966653,8.696916,8.435597,9.919997,15.71759,5.984643,6.499171,5.4481,5.730188,5.113558,4.703395,5.618721,9.475742
100b_0p_a_b1_c2,2.945551,4.056101,6.054306,5.833902,4.688744,4.230237,4.779608,7.069002,5.083394,5.888719,3.389393,2.545057,1.06049,0.9514148,1.146826,2.181613
100b_0p_b_b1_c2,3.015548,4.193591,6.277954,6.020494,4.698289,4.218408,4.765059,7.262458,5.164921,5.920706,3.391959,2.57965,1.057997,1.047642,1.107575,2.195322
100b_0p_c_b1_c2,3.078587,4.318219,6.504387,6.218205,4.956675,4.618248,5.341677,8.041401,5.265724,6.033555,3.485553,2.689932,1.237354,1.139088,1.32833,2.336222
100b_0p_d_b1_c2,2.955738,4.018655,5.89872,5.686845,4.638102,4.194128,4.698734,6.74382,5.153644,5.938825,3.443036,2.610245,1.11069,0.9279273,1.130794,2.300834
100b_0p_e_b1_c2,2.934201,4.034733,5.929326,5.749788,4.684275,4.235946,4.766283,6.924715,5.13843,5.96631,3.437316,2.580252,1.089413,0.9855452,1.184983,2.30378
20b_80p_a_b1_c2,3.799095,5.752563,6.766082,6.936222,5.058212,5.110749,6.142589,10.26212,5.553762,6.024364,4.138997,3.248657,2.129866,2.222377,2.714692,4.615242
20b_80p_b_b1_c2,4.085929,6.087819,7.778616,8.008978,5.847283,5.819683,7.127032,12.02857,5.461913,5.927839,4.370929,3.755264,2.599297,2.409868,3.07704,5.338828
20b_80p_c_b1_c2,3.982028,5.890903,7.119535,7.305995,5.313412,5.169582,6.179253,10.12674,5.519397,6.06733,4.596034,4.00883,2.700088,2.534329,3.268889,5.846174
20b_80p_d_b1_c2,3.432149,5.024556,5.940256,5.845775,4.268107,4.260777,4.929784,7.601063,5.366606,6.052885,4.352368,3.504773,2.256776,2.171462,2.769933,4.828753
20b_80p_e_b1_c2,4.039848,6.074506,7.548681,7.760605,5.579997,5.608947,6.829324,11.54726,5.562305,6.070955,4.51114,3.899394,2.614211,2.537341,3.256696,5.727725
40b_60p_a_b1_c2,3.279898,4.853417,5.732091,5.661397,4.006581,3.95327,4.647824,7.460586,5.2691,5.980155,4.029378,3.075816,1.943164,1.796164,2.242374,3.744303
40b_60p_b_b1_c2,3.360795,4.922287,5.528521,5.75743,4.437202,4.175976,4.936831,8.246935,5.194372,5.873297,4.038304,3.307162,2.358439,2.047462,2.65369,4.994673
40b_60p_c_b1_c2,3.090134,4.561191,4.960798,4.985053,3.747471,3.591412,4.139317,6.554292,5.185111,5.913707,3.978714,3.071953,2.023488,1.938741,2.424006,4.333827
40b_60p_d_b1_c2,3.011114,4.409823,4.859245,4.914588,3.614805,3.47731,4.08847,6.79455,5.110198,5.893126,3.898513,2.934625,1.84073,1.610452,2.083792,3.906418
40b_60p_e_b1_c2,2.918626,4.318119,4.542965,4.485072,3.31278,3.254999,3.665761,5.62099,5.123358,5.930928,3.92456,2.90977,1.758017,1.824944,2.03915,3.474601
60b_40p_a_b1_c2,3.0335,4.260258,6.702537,6.538091,5.351764,5.091575,5.909818,8.585632,5.161795,5.950313,3.607262,2.852948,1.347556,1.275977,1.685804,3.281388
60b_40p_b_b1_c2,3.186654,4.599321,7.257553,7.079636,5.617393,5.319112,6.23209,9.295485,5.206834,5.950214,3.548468,2.844384,1.421761,1.41413,1.816851,3.474483
60b_40p_c_b1_c2,3.063518,4.348183,6.780677,6.736114,5.590855,5.305859,6.238418,9.270634,5.136012,5.938975,3.430537,2.658535,1.223693,1.156492,1.544366,3.096454
60b_40p_d_b1_c2,3.264027,4.819575,7.893216,7.632371,5.679177,5.384971,6.333885,9.83837,5.182516,5.952874,3.770467,3.114877,1.480527,1.487634,1.917445,3.856936
60b_40p_e_b1_c2,2.276599,3.378337,6.508708,6.595475,5.412195,5.161946,6.047499,9.015795,3.033708,2.545654,1.768977,1.904613,1.474524,1.569262,2.069605,3.926939
80b_20p_a_b1_c2,2.938287,4.148955,6.572297,6.306142,5.101379,4.793669,5.534058,7.924841,5.11571,5.985227,3.436085,2.61107,1.145566,1.176596,1.470634,2.492512
80b_20p_b_b1_c2,3.238278,4.60836,6.85751,6.984917,5.892541,5.374335,6.329087,9.904012,5.325972,6.015085,3.536678,2.836308,1.476502,1.301953,1.719128,3.429731
80b_20p_c_b1_c2,2.884265,3.921154,6.213528,5.913183,4.67526,4.407486,5.116961,7.587441,5.08578,5.930595,3.483595,2.654361,1.127136,1.039024,1.321614,2.670109
80b_20p_d_b1_c2,2.988836,4.142895,6.482813,6.272114,5.044363,4.749581,5.506613,8.156512,5.161008,6.018385,3.532431,2.735708,1.270541,1.214723,1.441297,2.776675
80b_20p_e_b1_c2,3.154659,4.374225,6.658914,6.623111,5.389773,4.922634,5.702061,8.603065,5.314654,6.042822,3.608124,2.873813,1.353049,1.264415,1.641462,3.414557
100b_0p_c2_b2_a,2.798729,4.137328,6.626781,6.191722,4.518781,3.53715,4.053707,6.440681,4.944269,5.843798,3.337507,2.463612,1.217365,1.461163,1.455849,2.039611
100b_0p_c2_b2_b,2.926308,4.463478,7.87141,7.511656,4.922702,3.680215,4.520048,8.690601,4.943108,5.740246,3.21742,2.509958,1.307319,1.18959,1.463892,2.597731
