Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_336h_map_c_b2,12.95042,14.19001,14.79206,13.99561,9.622503,6.466537,7.462793,12.7442,7.82276,6.719313,3.789003,3.544277,2.776387,1.861541,2.340931,4.106482,6.85
0C_336h_map_d_b2,12.36498,13.54658,13.79398,12.91912,9.459743,6.310879,7.271576,12.63897,7.830522,6.717846,3.660482,3.241229,2.818525,2.023427,2.509487,4.275605,6.3
0C_408h_map_a_b2,12.43983,13.58648,14.49748,13.61699,9.677085,6.364786,7.44047,12.93759,7.468193,6.2846,3.964923,3.596462,2.935035,1.955539,2.49001,4.358878,6.52
0C_408h_map_b_b2,12.69921,13.9133,15.23975,14.52047,10.24233,6.689178,8.171123,14.25182,7.348499,6.203279,4.445116,4.145167,3.584381,2.274902,2.937384,5.139625,7.08
0C_408h_map_c_b2,12.43402,13.89133,14.75251,13.96011,9.796771,6.401119,7.624976,13.42218,7.352674,6.215058,3.83399,3.510861,3.009001,2.005536,2.46865,4.257325,7.14
0C_408h_map_d_b2,12.09002,13.26648,13.76351,13.1029,9.38601,6.287088,7.325252,12.70439,7.426726,6.232418,3.736322,3.561401,2.810293,2.072686,2.539548,4.260646,7.54
0C_408h_map_e_b2,12.0671,13.54597,14.52397,13.69128,9.548837,6.347956,7.615893,13.21368,7.330483,6.278645,3.865535,3.649974,2.901038,1.947706,2.626343,4.59874,7.57
0C_408h_map_g_b2,12.85627,14.32452,15.09494,14.24615,10.23552,6.651634,7.793728,13.65447,7.575817,6.224181,4.088701,3.814052,3.146055,2.037776,2.591367,4.692131,7
0C_408h_map_h_b2,11.9492,13.39744,13.74846,12.75872,9.07361,6.069488,6.950202,11.90828,7.36745,6.338486,3.825194,3.152373,2.545037,1.93987,2.342556,3.89165,7.63
0C_456h_map_a_b2,10.93053,12.98686,14.16228,13.46128,9.469624,6.321648,7.608181,13.06747,7.439078,6.350854,3.859945,3.691218,2.784304,1.987874,2.606623,4.297706,9.6
