Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,
0C_216h_air_d_b1,17.22402,22.97246,26.1846,29.39994,30.62242,30.28168,32.17654,36.83064,46.19176,50.62889,53.1815,61.27878,56.41357,54.69471,52.08095,45.24892,42.98944,33.86019,3.417559,3.980455,4.220399,4.516729,4.531885,4.501269,5.251425,5.103589,6.365399,6.612328,6.643071,6.828856,6.916996,6.828417,6.711457,5.638477,5.452467,4.459777,
0C_216h_air_e_b1,17.02345,21.69588,24.85623,28.35537,29.32386,28.6889,29.00757,34.67542,47.04475,51.14109,53.16048,58.75731,54.07759,52.52273,50.10499,43.81594,41.65378,32.99755,4.526878,4.56628,4.83884,5.21319,5.220767,5.070984,4.943035,5.001532,6.249851,6.242941,6.194991,6.096678,6.194077,6.150772,6.104535,5.251081,5.134591,4.37763,
0C_216h_air_f_b1,18.02765,22.47089,25.37203,28.66482,29.54462,28.77955,28.80975,33.85444,49.07598,53.50195,55.35531,60.02606,56.54762,55.19614,52.99438,46.48919,44.27709,35.28636,4.662624,5.001171,5.070398,5.102816,4.948435,4.944835,5.273089,5.215685,5.512262,5.782207,5.971399,6.610324,6.741283,6.652952,6.512933,5.48099,5.339365,4.516761,
0C_216h_air_g_b1,16.64874,21.24563,24.73915,28.81337,29.70944,28.86142,29.05396,33.85751,47.71494,52.37775,54.61416,60.81009,56.43373,54.72399,52.03263,44.86984,42.48537,32.98621,4.2795,5.076001,5.342782,5.480223,5.310059,5.36562,6.113365,5.620505,4.911551,5.092009,5.165094,5.441041,5.538514,5.490681,5.436251,4.743752,4.684087,4.22614,
0C_216h_air_h_b1,15.2586,20.91208,23.93701,27.0215,28.34447,28.11894,29.869,35.4489,44.27941,48.83793,51.53262,60.19471,55.53725,53.81228,51.21134,44.53768,42.36071,33.56454,3.860829,4.130149,4.264884,4.462159,4.46582,4.446261,4.609602,5.017104,5.570424,5.668505,5.772791,6.212111,6.367819,6.28547,6.218019,5.384244,5.279412,4.539258,
0C_216h_air_i_b1,15.72666,20.52229,23.49624,26.90132,28.16259,27.72374,29.4903,33.47308,45.16057,49.94003,52.47124,60.2284,56.87039,55.33067,52.87191,46.12084,43.9372,35.01965,3.601297,4.397319,4.658803,4.966171,4.917676,4.86741,4.889172,4.905314,5.865021,6.018884,6.019193,6.019226,6.292524,6.251739,6.161495,5.283684,5.180284,4.474767,
0C_216h_air_j_b1,14.29627,18.57617,21.91507,25.98752,27.39067,26.72214,27.04311,33.08885,44.66377,49.15515,51.50864,59.59523,56.16912,54.41246,51.67063,44.62025,42.32573,33.07678,3.215346,4.104511,4.480873,4.979383,4.809979,4.655738,4.473342,4.36276,5.246875,5.217555,5.198547,5.294375,5.938167,5.846194,5.71821,4.757048,4.615554,3.846049,
0C_48h_air_a_b1,18.98786,21.94353,25.90598,31.83512,32.83912,31.0735,28.41966,34.38843,50.39046,53.33756,54.18384,56.90788,54.41151,53.06008,50.87794,44.61427,42.41519,33.74224,4.909111,5.133342,4.94908,4.642048,4.478312,4.43888,4.230661,4.430118,5.079217,5.375531,5.50592,6.087944,6.631233,6.52956,6.393696,5.373236,5.226461,4.404933,
0C_48h_air_b_b1,15.98937,19.06846,22.75377,28.3808,29.58211,27.88377,25.04213,31.04864,46.96517,50.19522,51.13614,54.77316,52.91095,51.4725,49.18629,42.93295,40.73391,32.11143,4.466683,5.085013,5.153289,5.164641,5.090716,5.060069,4.971504,5.083781,5.357397,5.489171,5.570361,5.873923,6.124302,6.027976,5.932632,5.074667,4.973491,4.2551,
0C_48h_air_c_b1,15.4699,18.65714,22.79062,29.00117,30.65803,28.97368,26.20253,32.71525,48.26217,51.36319,52.29567,55.82794,53.24271,51.77342,49.40349,43.05439,40.89259,32.37216,4.4842,4.71541,4.799722,4.808184,4.653151,4.631461,4.635509,4.745926,5.195193,5.504216,5.64161,6.230333,6.908884,6.823793,6.677962,5.599578,5.473224,4.694994,
