Sample_ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,Group Label
20b_80p_c2_b2_c,8.939612,11.27717,13.44629,16.32463,18.80474,18.74289,22.21688,25.88057,29.67717,30.76349,31.54832,45.07446,63.98106,64.48135,64.65348,61.5303,60.9523,56.73763,1.340997,2.449723,3.251937,4.169465,4.447015,4.313071,4.623839,5.094896,5.067971,5.036648,5.11929,5.833301,6.21133,6.252272,6.37834,5.787208,5.857229,5.453573,20
30b_70p_c2_b2_a,8.471546,10.13071,11.79701,14.08033,16.3267,16.34169,19.56736,22.77151,26.29031,27.17699,27.80661,41.17514,61.46901,62.10943,62.38067,59.82027,59.35593,55.66901,1.287339,2.310472,3.035398,3.888412,4.26269,4.185534,4.638612,5.11477,5.097306,4.99896,5.041379,5.641407,5.736919,5.747939,5.836496,5.299116,5.362243,5.005637,30
30b_70p_c2_b2_b,8.667475,10.59064,12.47012,14.99964,17.2962,17.26736,20.63718,24.07235,27.83296,28.90026,29.66,43.47509,62.72385,63.31392,63.52962,60.68789,60.18792,56.24058,1.283014,2.397542,3.217853,4.165833,4.40874,4.265798,4.612271,5.090928,5.003393,4.919055,4.970377,5.570541,5.700279,5.709864,5.806074,5.25933,5.335476,4.96996,30
30b_70p_c2_b2_c,7.624363,8.699707,10.03106,11.93526,13.77203,13.73967,16.49627,19.41783,23.05364,23.98332,24.55013,37.82481,58.92838,59.68292,60.05671,57.6768,57.16965,53.49309,1.031386,1.763607,2.355253,3.109934,3.510977,3.451042,3.857552,4.42681,4.649394,4.621592,4.723844,5.862283,5.964937,5.954051,6.01274,5.389071,5.446049,5.08335,30
40b_60p_c2_b2_a,8.145782,9.561074,11.09769,13.22419,15.39471,15.43357,18.78501,21.93258,25.52461,26.52241,27.18322,40.07312,60.02839,60.71557,61.16737,58.93739,58.49464,55.2043,1.27586,2.330096,3.118083,4.092564,4.562434,4.459214,4.954584,5.543922,5.640864,5.5457,5.64322,6.629479,6.40168,6.375314,6.454903,5.832719,5.893361,5.498635,40
40b_60p_c2_b2_b,8.029213,9.222534,10.62568,12.60162,14.64606,14.682,18.01444,21.06165,24.51547,25.50761,26.15551,39.16892,59.5291,60.22624,60.66587,58.47612,58.02078,54.73393,1.249673,2.179784,2.907455,3.81181,4.22801,4.120304,4.616439,5.178241,5.197841,5.113178,5.197623,6.08222,6.07866,6.068812,6.161838,5.643879,5.726887,5.461709,40
40b_60p_c2_b2_c,8.20831,9.974079,11.75205,14.1612,16.19479,16.1121,19.36229,22.57481,25.98768,26.89373,27.56614,40.84298,60.72947,61.32227,61.67564,59.26105,58.7759,55.30349,1.189202,2.069424,2.755417,3.592502,3.971532,3.893479,4.417592,4.990207,5.063303,5.024552,5.1202,6.075631,6.532087,6.540253,6.640296,5.98947,6.035686,5.563362,40
50b_50p_c2_b2_a,7.098379,8.053093,9.358375,11.27714,12.97438,12.87818,15.52142,18.34906,21.78152,22.63379,23.15686,36.4412,57.4663,58.15549,58.59697,56.44833,55.87178,52.47433,1.042301,1.525643,1.921223,2.445667,2.835809,2.827001,3.202199,3.682683,3.952801,3.976409,4.088431,5.288378,5.704235,5.718816,5.819149,5.24782,5.293606,4.975619,50
50b_50p_c2_b2_b,8.24244,10.09439,11.9176,14.33214,16.34635,16.26811,19.30089,22.42964,25.57308,26.80841,27.57828,40.62006,59.61869,60.15624,60.52683,58.28868,57.7991,54.54809,1.353712,2.340216,3.116382,4.052384,4.432455,4.326329,4.751837,5.498547,5.712158,5.876173,6.067867,7.395376,7.633887,7.626718,7.708281,6.894233,6.917691,6.328463,50
50b_50p_c2_b2_c,8.674923,10.91351,13.0295,15.75888,17.5713,17.33423,20.05015,23.3187,26.87125,28.06978,28.86942,42.50378,60.87351,61.41312,61.73059,59.17513,58.62227,55.04683,1.176445,2.082141,2.747479,3.517505,3.84592,3.768519,4.183076,4.72718,4.72341,4.78794,4.899326,5.765261,5.960747,5.981829,6.077859,5.539629,5.605809,5.283225,50
60b_40p_c2_b2_a,7.553267,8.727409,10.1297,12.13192,14.05984,14.03916,17.11155,20.02368,23.19765,24.10996,24.69932,37.30093,57.83358,58.48588,58.96923,57.03649,56.57613,53.58495,1.070698,1.718545,2.300758,3.052084,3.470739,3.417895,3.933789,4.479102,4.533988,4.500044,4.583339,5.408034,5.977143,5.990119,6.111484,5.585173,5.647344,5.292116,60
60b_40p_c2_b2_b,7.744365,9.169198,10.74827,12.92504,14.76116,14.67007,17.51755,20.72204,23.99893,25.33183,26.14412,39.1749,58.39685,58.94998,59.31567,57.26128,56.79479,53.75998,1.171147,1.898231,2.536181,3.347021,3.710688,3.623545,4.102858,4.708584,4.830382,4.897079,5.034734,5.99525,6.255062,6.244698,6.353286,5.806388,5.884712,5.564211,60
60b_40p_c2_b2_c,8.244558,10.07625,11.94431,14.43194,16.33361,16.18296,19.04342,22.27385,25.4825,26.76104,27.53361,40.66394,59.568,60.09791,60.40593,58.09494,57.58141,54.26305,1.149902,2.036569,2.757455,3.612216,3.921924,3.809385,4.105054,4.703465,4.762543,4.873579,4.996479,5.851464,6.045014,6.031626,6.144779,5.622088,5.707971,5.431929,60
70b_30p_c2_b2_a,7.550212,8.516637,9.74592,11.49833,13.25895,13.2576,16.10071,18.75239,21.70419,22.58163,23.10292,35.13589,56.04761,56.79897,57.33844,55.71205,55.29409,52.50209,1.007402,1.770718,2.430511,3.290771,3.742311,3.672557,4.234558,4.871912,4.96088,4.911227,4.9952,5.948729,6.058289,6.020889,6.081994,5.508395,5.570768,5.193532,70
70b_30p_c2_b2_b,7.503375,8.327524,9.467091,11.14142,13.06064,13.12862,16.18547,18.9197,22.02431,22.97534,23.53972,35.77863,56.83433,57.5854,58.12447,56.39054,55.96522,53.06722,1.062148,1.726034,2.292799,3.052446,3.580066,3.561835,4.224505,4.82562,4.940464,4.901762,4.989716,5.880653,6.2233,6.204921,6.311847,5.76358,5.838554,5.493026,70
70b_30p_c2_b2_c,7.471994,8.499823,9.788527,11.64327,13.48621,13.48403,16.43593,19.18242,22.15478,23.06108,23.59598,35.9992,56.97022,57.65778,58.13019,56.36017,55.94829,53.08475,1.053694,1.698259,2.272225,3.004775,3.393923,3.338111,3.80672,4.34687,4.439587,4.439946,4.531811,5.440202,5.902993,5.920007,6.022765,5.456383,5.516651,5.137363,70
80b_20p_c2_b2_a,7.445329,8.443358,9.722685,11.55884,13.09587,12.98451,15.51537,18.0811,20.8768,21.80139,22.31838,34.64465,55.39939,56.05508,56.436,54.75978,54.3642,51.58387,0.9796607,1.605181,2.16174,2.891852,3.271096,3.218241,3.687221,4.279992,4.407743,4.414995,4.513028,5.546935,5.946047,5.93433,6.027225,5.50052,5.572205,5.288871,80
80b_20p_c2_b2_b,7.6457,9.230633,10.88142,13.1022,14.64321,14.44328,16.76808,19.75819,22.65553,23.93427,24.66765,37.7263,57.24722,57.76622,58.03147,56.12028,55.71002,52.775,0.9967688,1.801223,2.456398,3.253275,3.579113,3.484188,3.733391,4.318119,4.36604,4.488916,4.603526,5.450583,5.570723,5.522793,5.567691,5.052415,5.12301,4.85773,80
80b_20p_c2_b2_c,7.632197,9.262706,10.93287,13.18231,14.79349,14.61756,17.18849,19.96811,22.68532,23.72532,24.35403,36.92181,56.5344,57.11051,57.43466,55.64126,55.23798,52.36625,1.092932,1.921417,2.576083,3.388292,3.806362,3.739337,4.19949,4.828031,4.908088,4.995271,5.132938,6.235715,6.598139,6.57009,6.638826,5.987976,6.052014,5.638336,80
90b_10p_c2_b2_a,7.19294,7.79897,8.803143,10.32885,12.02685,12.04089,14.70127,17.21238,20.01089,20.89591,21.34207,32.8045,53.50031,54.25941,54.72712,53.48104,53.19305,50.90354,0.9934337,1.438215,1.872926,2.4931,2.920596,2.902588,3.411711,3.98186,4.143572,4.163903,4.253892,5.112069,5.657553,5.667781,5.792463,5.36896,5.471514,5.260334,90
90b_10p_c2_b2_b,7.385894,8.097475,9.16959,10.77427,12.66997,12.7572,15.73933,18.40027,21.31594,22.28273,22.7973,34.4796,55.0787,55.83251,56.32465,54.93302,54.64648,52.18871,1.063704,1.55625,2.061631,2.768742,3.200575,3.157829,3.693397,4.339892,4.580366,4.61335,4.729416,5.940923,6.439314,6.417632,6.503449,5.949272,6.0281,5.708009,90
90b_10p_c2_b2_c,7.19536,7.617809,8.490334,9.839107,11.42641,11.46994,14.08321,16.44715,19.24853,20.19043,20.61888,31.91339,52.87695,53.69364,54.22951,53.10788,52.82729,50.61247,0.9828314,1.365078,1.787019,2.419625,2.860944,2.835786,3.317857,3.923313,4.136996,4.152934,4.25113,5.335876,5.806797,5.809566,5.917151,5.475523,5.56636,5.333954,90
0b_100p_c2_b3_a,12.24592,15.72001,18.35504,21.73876,24.06949,23.92752,27.80683,31.61009,35.66173,36.44286,37.29556,51.42687,67.41696,67.82755,68.03609,64.36708,63.70222,59.09291,3.003531,4.744648,5.835863,7.086655,7.376752,7.148914,7.186492,7.587901,7.247835,6.77094,6.722151,7.3073,5.810351,5.746334,5.805282,5.248432,5.347654,5.121044,0
0b_100p_c2_b3_b,11.32816,14.43399,16.99722,20.2106,22.78216,22.74929,26.77655,30.43724,34.31738,35.08182,35.89811,49.83081,66.19881,66.63874,66.86382,63.47057,62.84679,58.52843,2.567701,4.187536,5.245007,6.445169,6.901773,6.745254,6.946993,7.336905,6.963509,6.534456,6.491732,7.121353,6.195124,6.136733,6.185953,5.601831,5.692445,5.449937,0
0b_100p_c2_b3_c,11.83417,14.99737,17.73545,21.18334,23.65689,23.49749,27.28969,31.13952,35.20102,35.95982,36.79943,50.74694,66.76138,67.19092,67.42399,63.84186,63.16881,58.59515,2.642591,4.175984,5.201194,6.342994,6.630945,6.428681,6.561132,6.961078,6.672688,6.304776,6.286139,6.836957,6.22013,6.181494,6.276564,5.71282,5.808527,5.561187,0
0b_100p_c2_b3_d,11.36863,14.30318,16.84193,20.05246,22.51096,22.43858,26.40712,30.31598,34.59428,35.487,36.40591,50.60397,66.84981,67.30469,67.57032,64.06389,63.41468,58.91001,2.717999,4.454834,5.609068,6.880889,7.10476,6.842772,6.805027,7.238143,6.944834,6.525885,6.488349,6.963368,5.875983,5.825508,5.89942,5.375179,5.485538,5.280758,0
100b_10p_c2_b3_a,6.56762,6.348644,6.8015,7.607013,8.340203,8.218386,9.765254,11.52174,14.29913,15.27404,15.68173,26.61666,47.2076,48.1196,48.72091,48.14632,47.78956,45.3476,0.9490913,1.076322,1.34339,1.809893,2.22669,2.213693,2.643359,3.304296,3.570297,3.584241,3.681001,5.104885,5.242382,5.203398,5.238528,4.840734,4.927284,4.853205,100
100b_10p_c2_b3_b,6.530297,6.37541,6.851175,7.672237,8.371845,8.24287,9.780319,11.47872,14.19327,15.17986,15.6188,26.58776,46.74996,47.66422,48.29404,47.81588,47.47016,45.11547,0.9403923,1.073994,1.366931,1.866477,2.259268,2.225424,2.649904,3.348809,3.646538,3.65857,3.770672,5.525501,5.327616,5.221947,5.218434,4.761513,4.830495,4.674663,100
100b_10p_c2_b3_c,6.540195,6.377389,6.846554,7.631251,8.273896,8.146193,9.676426,11.19981,13.72149,14.65995,15.03843,25.49936,45.65282,46.56235,47.17472,46.91145,46.63343,44.64441,0.9900664,1.097828,1.386556,1.899247,2.272085,2.231511,2.633727,3.315213,3.570607,3.54814,3.648344,5.505591,5.850479,5.769329,5.731041,5.115372,5.158771,4.963255,100
100b_10p_c2_b3_d,6.229868,6.183409,6.684418,7.497621,8.214334,8.10504,9.683621,11.27307,13.74464,14.61939,14.95114,25.22016,46.04927,46.9921,47.64157,47.38265,47.11719,45.09606,0.9388076,1.022464,1.302133,1.810285,2.234245,2.204089,2.653978,3.364674,3.591399,3.559529,3.639934,5.4671,6.051199,5.92491,5.812263,5.090222,5.110428,4.801945,100
20b_80p_c2_b3_a,9.875591,12.234,14.45969,17.38032,19.95677,19.95618,23.71124,27.53861,31.67382,32.57051,33.34437,47.14935,64.4016,64.94023,65.18741,61.99798,61.42175,57.06775,1.870962,3.09394,3.963109,4.982606,5.378795,5.233387,5.40652,5.853137,5.71554,5.452784,5.459978,6.015603,5.924676,5.925145,6.041246,5.512257,5.590679,5.290032,20
20b_80p_c2_b3_b,9.214006,11.41046,13.53708,16.35712,18.70828,18.6498,22.16675,25.83889,29.76088,30.63309,31.37511,45.01298,62.99137,63.57497,63.87397,60.92218,60.34311,56.16607,1.804372,3.023716,3.914028,4.988327,5.470936,5.334459,5.576201,6.143987,6.13759,5.934743,5.95889,6.576087,6.059923,6.036033,6.124104,5.607095,5.693326,5.441231,20
20b_80p_c2_b3_c,9.138589,11.19621,13.17805,15.76955,17.91265,17.8989,21.54197,25.16334,29.38275,30.44719,31.28092,45.0355,63.31688,63.9798,64.34847,61.48034,60.95073,56.87436,1.785009,3.359152,4.492738,5.850571,6.364616,6.146383,6.351459,7.080513,7.008944,6.628153,6.635688,7.56204,6.217068,6.126859,6.133456,5.512659,5.575311,5.237605,20
20b_80p_c2_b3_d,9.301185,11.51761,13.70086,16.58778,18.95049,18.88471,22.53995,26.43546,30.79358,31.80317,32.65639,46.74331,64.38378,64.98061,65.26646,62.12069,61.53495,57.15337,1.989306,3.442153,4.521342,5.822867,6.317359,6.111772,6.311597,6.927832,6.783827,6.407362,6.380323,7.040825,5.982877,5.919265,5.947553,5.2898,5.33432,4.922283,20
40b_60p_c2_b3_a,8.267806,9.703559,11.3525,13.64031,15.69448,15.64304,18.61428,21.98712,25.85661,26.86516,27.55923,40.65673,59.78507,60.51564,60.8418,58.37271,57.90602,54.06631,1.776788,2.834956,3.675217,4.768172,5.392644,5.265162,5.575088,6.359605,6.475381,6.249376,6.287726,7.36126,6.480511,6.383029,6.359776,5.604862,5.644866,5.157259,40
40b_60p_c2_b3_b,7.545935,8.668269,10.11681,12.19278,13.98499,13.89347,16.63572,19.79975,23.58529,24.57912,25.21606,38.31106,57.93314,58.71387,59.05376,56.80852,56.35973,52.72842,1.276443,2.158756,2.899439,3.887951,4.456065,4.346508,4.721346,5.514463,5.674006,5.472073,5.511942,6.66002,5.884815,5.819541,5.84048,5.268665,5.355493,5.068592,40
40b_60p_c2_b3_c,7.974172,9.09558,10.50917,12.4817,14.29941,14.2895,17.25714,20.34249,24.13136,25.2647,25.96155,38.97746,58.72212,59.54348,59.96141,57.64798,57.20669,53.47996,1.420967,2.467704,3.315252,4.413987,5.005395,4.86007,5.126784,5.926659,5.986619,5.691656,5.71197,6.780065,5.487602,5.413248,5.434682,4.921976,4.995136,4.737982,40
40b_60p_c2_b3_d,8.483895,10.01943,11.66076,13.89064,15.98351,15.9939,19.19331,22.57903,26.43188,27.49705,28.21516,41.44654,60.63717,61.34605,61.66713,59.13716,58.69385,54.85153,1.578231,2.639568,3.455071,4.499573,5.069541,4.940283,5.18161,5.872647,5.91684,5.707108,5.743238,6.59909,5.659102,5.603321,5.646816,5.10961,5.191999,4.936495,40
60b_40p_c2_b3_a,7.137694,7.842385,8.937049,10.54907,12.09259,12.0499,14.59165,17.20246,20.45496,21.43098,21.9827,34.28943,54.52022,55.3605,55.84871,54.1486,53.70762,50.47665,1.18934,1.891879,2.51518,3.390434,4.070692,4.035181,4.617692,5.463483,5.702844,5.56789,5.64343,7.084466,6.287777,6.17885,6.156056,5.512729,5.581848,5.208864,60
60b_40p_c2_b3_b,7.179126,7.870957,8.938869,10.49684,11.93584,11.89525,14.38298,16.80524,19.95551,20.93035,21.43961,33.27123,53.69733,54.60825,55.17722,53.78136,53.45109,50.61673,1.188175,1.993165,2.680388,3.623517,4.2513,4.182968,4.775347,5.701777,5.961195,5.796933,5.881537,7.69117,6.863208,6.669165,6.536553,5.761298,5.817029,5.468111,60
60b_40p_c2_b3_c,6.946483,7.652641,8.694114,10.19532,11.55278,11.48203,13.85335,16.27868,19.36323,20.31805,20.86,32.90863,52.7927,53.61859,54.06821,52.63535,52.2495,49.31895,1.147544,1.871946,2.508699,3.364938,3.919414,3.848876,4.316323,5.059619,5.228278,5.085218,5.146322,6.517169,6.162119,6.082474,6.086994,5.571247,5.662842,5.502434,60
60b_40p_c2_b3_d,7.201187,7.872894,8.92914,10.48277,11.96476,11.91701,14.35074,16.85442,20.00644,21.01506,21.53273,33.43786,53.85905,54.70538,55.17303,53.57596,53.17719,50.12421,1.143211,1.841422,2.454665,3.302826,3.931112,3.872609,4.288952,5.024886,5.141105,4.98474,5.032596,6.262071,5.746167,5.661392,5.675778,5.195766,5.303893,5.166527,60
70b_30p_c2_b3_a,6.811559,7.441002,8.448444,9.962602,11.53489,11.50542,13.85351,16.476,19.66255,20.5817,21.05004,32.67403,53.52784,54.37164,54.77608,53.16986,52.74419,49.60632,1.042004,1.652226,2.200197,2.966014,3.518647,3.461336,3.806614,4.502048,4.706002,4.64283,4.719247,5.820359,5.749681,5.745307,5.828729,5.323613,5.39911,5.108115,70
70b_30p_c2_b3_b,6.689263,6.953,7.678442,8.790392,9.961495,9.934681,12.03768,14.09026,17.00002,18.01822,18.47223,29.57114,50.79192,51.81945,52.43127,51.37097,51.03639,48.39225,1.0233,1.625438,2.160253,2.935783,3.573954,3.541358,4.090925,4.927407,5.142871,4.983188,5.038887,6.585299,5.916158,5.787967,5.741603,5.187364,5.27077,5.055596,70
70b_30p_c2_b3_c,7.191972,8.061432,9.20902,10.87785,12.44763,12.40268,14.87545,17.51374,20.71295,21.73093,22.27651,34.37689,54.47456,55.31506,55.73616,54.09394,53.71904,50.6341,1.17885,1.980872,2.625108,3.507288,4.149129,4.097593,4.591216,5.378667,5.557024,5.409287,5.473136,6.847606,6.130026,6.034535,6.034816,5.473883,5.561572,5.319709,70
70b_30p_c2_b3_d,6.824103,7.620415,8.79953,10.57419,12.1892,12.07748,14.37949,17.18761,20.35949,21.14427,21.58701,33.63105,54.39925,55.17652,55.52218,53.73012,53.2823,50.02213,1.040832,1.591485,2.081465,2.757407,3.246408,3.210698,3.58668,4.256095,4.553141,4.570584,4.687495,5.697618,5.949008,5.981457,6.080828,5.578169,5.657764,5.3711,70
