Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
0C_24h_map_d_b2,17.1167,18.29227,25.6317,26.46308,21.0778,13.62954,14.29083,26.64979,8.495923,7.463848,7.133149,7.363786,6.871888,5.590875,6.456822,8.904144,
0C_48h_map_a_b2,17.5603,22.65574,30.74487,32.79954,27.42211,18.67293,17.96325,32.20779,7.840937,7.151148,6.198286,6.835555,7.515343,7.31879,7.470928,8.257992,
0C_48h_map_b_b2,15.3617,20.07388,27.63811,28.76731,22.81986,15.68851,15.3203,27.33116,7.895694,6.870626,5.911298,6.035261,5.518331,4.869411,4.378925,6.362298,
0C_48h_map_c_b2,15.65846,20.89967,27.84086,28.59557,21.85405,15.33177,15.58469,26.74702,7.561085,7.855217,5.584743,6.622744,6.639165,9.211293,5.681064,6.911575,
10C_0h_map_a_b2,17.86672,20.42221,26.81454,28.17607,22.65245,16.01226,15.4481,28.60115,8.316553,8.193033,5.200806,5.364987,5.336298,7.109227,7.459603,7.159537,
10C_0h_map_b_b2,16.28199,18.08432,30.88272,30.73138,25.46609,16.98168,16.28428,28.48367,8.267165,7.536627,6.926787,6.052373,7.045503,9.187851,6.002014,6.741252,
10C_0h_map_c_b2,16.87022,19.74311,26.7172,27.21698,21.13377,13.99865,14.61772,25.91206,8.218118,7.233736,4.706209,4.745904,5.697042,5.074521,5.183692,5.291145,
10C_0h_map_d_b2,19.45892,21.35374,30.07837,30.5626,23.48347,16.54516,16.36271,27.66299,9.282351,7.446799,6.832676,5.542423,5.709454,8.83414,7.458239,9.159993,
10C_120h_map_a_b2,16.87553,18.51749,28.48594,28.93634,24.33515,16.40757,14.998,23.05557,8.502598,7.244792,7.969818,7.518059,7.843759,7.322582,7.030607,7.306593,
10C_120h_map_b_b2,16.87553,18.51749,28.48594,28.93634,24.33515,16.40757,14.998,23.05557,8.502598,7.244792,7.969818,7.518059,7.843759,7.322582,7.030607,7.306593,
10C_120h_map_c_b2,17.77219,19.53801,31.11243,32.03748,26.24251,18.15952,17.18221,26.51438,8.400534,7.088852,8.79879,8.269273,7.436022,6.792641,6.663432,8.023502,
10C_120h_map_d_b2,17.77219,19.53801,31.11243,32.03748,26.24251,18.15952,17.18221,26.51438,8.400534,7.088852,8.79879,8.269273,7.436022,6.792641,6.663432,8.023502,
10C_24h_map_a_b2,17.61603,19.13601,26.68421,26.55558,20.83439,13.73764,13.34726,23.11684,8.773792,7.723138,6.571988,6.712162,6.281429,5.194113,5.299342,6.445626,
10C_24h_map_b_b2,18.73256,20.32823,26.66485,27.48168,22.15723,15.22553,14.91073,26.73507,8.615467,7.675064,6.298131,5.941246,5.706159,6.102054,6.047904,7.548743,
10C_24h_map_c_b2,17.10483,18.34157,26.94016,26.73728,21.4283,14.37164,13.91139,23.27893,8.680772,7.549339,7.753252,7.769314,8.358898,6.77424,5.694456,7.244596,
10C_24h_map_d_b2,16.85477,17.8124,25.3025,26.0205,21.2674,14.2999,15.23819,24.49029,8.847271,7.244659,6.577823,7.050687,6.422643,5.456952,5.914492,7.719395,
10C_48h_map_a_b2,15.49808,19.2009,27.20098,28.77667,23.02514,15.21532,15.5168,26.37037,7.664077,7.661311,5.988719,6.893909,6.997472,5.27932,6.093786,7.328449,
10C_48h_map_b_b2,13.99203,17.82038,24.49918,24.47148,19.07829,12.24269,12.04911,20.56651,7.803024,7.502562,5.567034,5.967934,7.041388,5.208337,7.223741,6.992374,
10C_48h_map_c_b2,13.18502,15.90239,27.79979,28.23479,21.9655,14.72452,14.38473,23.66865,8.11254,7.318885,9.123236,9.901529,9.666677,7.488882,7.221873,8.787689,
5C_0h_map_a_b2,17.09361,20.09486,28.12471,28.32738,21.98859,14.85091,14.35485,25.76868,8.632087,8.064189,7.897113,8.002168,8.587272,6.878211,6.453568,6.98958,
5C_0h_map_b_b2,16.96207,18.8691,27.41543,28.16643,22.60921,14.74367,14.45942,26.88505,8.412554,7.66712,7.842641,7.837585,7.46976,5.538127,5.713097,7.53771,
5C_0h_map_c_b2,17.43468,19.83113,28.06474,28.57197,22.37672,15.03775,14.61172,26.36218,9.117089,7.72626,8.111801,8.292288,7.938206,6.017324,5.306953,6.238367,
5C_0h_map_d_b2,15.64076,18.77644,23.33102,23.7428,19.4579,12.78492,12.50325,25.18709,8.728776,8.05583,5.714396,5.34841,6.634389,6.920564,5.749157,8.668224,
5C_120h_map_a_b2,17.1278,17.73155,27.3389,28.02168,22.79094,15.68527,16.0103,23.4831,8.435719,6.888354,8.039007,8.647048,8.731812,7.198998,6.68032,7.473965,
5C_120h_map_b_b2,16.1975,17.7901,25.36992,26.4281,20.60268,13.37629,14.06298,22.43708,8.074541,7.400716,7.020237,6.184895,6.047692,4.689357,4.952551,7.717086,
5C_120h_map_c_b2,18.78541,20.47212,31.73576,32.97845,26.78141,17.88983,18.76721,28.26053,7.761449,7.367241,6.604801,6.165622,6.086105,5.034553,4.946576,7.086292,
5C_120h_map_d_b2,19.11549,21.38166,33.20852,35.19327,29.37838,20.10519,20.44369,30.72732,7.623213,7.005839,7.571594,7.614004,7.864357,7.343196,6.34157,7.002383,
5C_144h_map_a_b2,18.44467,18.96426,27.21198,27.961,22.11923,15.03447,14.6883,22.24471,9.465958,7.248403,8.44438,8.688066,8.048914,6.593647,7.038831,8.188756,
5C_144h_map_b_b2,17.30177,18.02988,26.54352,27.89493,21.92454,14.66467,13.68683,22.96595,8.172059,7.231154,7.346909,7.309278,6.834115,6.629938,6.147781,6.918077,
5C_144h_map_c_b2,13.61374,14.58381,21.11692,21.674,17.75895,11.6229,10.93345,18.42161,7.723911,7.099944,6.789917,7.098634,7.568196,6.168176,5.285002,6.34255,
5C_144h_map_d_b2,16.26722,18.39717,26.50399,26.59712,20.36589,13.45526,13.59607,21.03033,8.520536,7.004319,6.63228,7.588861,8.933881,5.864037,6.437367,6.829179,
5C_144h_map_e_b2,18.43279,19.41532,27.41038,28.00478,22.64989,15.48895,15.97643,27.43394,8.496625,6.498255,5.579122,5.527618,4.90739,7.523932,7.042646,6.466505,
5C_144h_map_f_b2,17.7873,19.09313,28.17746,29.49087,23.35604,15.45161,15.95133,25.98032,8.472678,7.201355,6.634965,6.978282,6.068213,6.06565,7.239707,7.708166,
5C_144h_map_g_b2,17.78404,18.98969,25.68447,28.0369,22.37971,14.33619,14.29599,24.94374,8.074751,7.544718,6.201487,6.213315,6.923609,5.503179,7.639588,8.349847,
5C_144h_map_h_b2,18.65695,20.47331,31.48112,31.579,26.32936,18.01804,16.94932,26.27804,8.139951,7.135568,10.18053,10.50729,11.0364,8.987165,8.689698,12.05562,
5C_216h_map_a_b2,17.82717,19.8845,25.59452,26.79788,19.81141,12.56296,13.71242,23.069,8.729508,7.016585,6.220997,6.397268,4.304294,3.335838,4.06811,6.396694,
5C_216h_map_b_b2,17.31963,19.35031,25.21261,26.30745,19.77534,12.66719,13.05818,22.13982,7.32965,6.977111,4.575423,4.909231,3.753316,2.567931,2.852666,4.320954,
5C_216h_map_c_b2,16.52131,19.08169,24.46606,26.26138,20.25315,13.19975,14.33967,23.12095,7.788848,7.771286,6.024278,6.897568,5.575363,3.604279,4.163531,6.25467,
5C_216h_map_d_b2,14.8236,16.50566,22.24412,23.17036,18.26396,11.98832,12.61345,20.20412,7.733962,6.195987,4.604528,4.519554,3.232018,2.45042,2.857069,4.17812,
5C_24h_map_a_b2,18.18029,20.50461,28.61808,29.4263,23.13711,15.62591,15.36626,26.95092,9.046344,7.302332,8.030833,8.444495,8.003873,6.562605,7.239848,8.398721,
5C_24h_map_b_b2,19.20704,21.64211,29.02584,28.91095,22.30601,14.63854,14.66159,25.85426,8.924748,7.43433,6.655472,6.690978,6.624651,5.08297,5.736376,7.110978,
5C_24h_map_c_b2,17.81318,18.6447,27.64972,27.51681,21.80918,14.82275,13.76478,22.97176,9.081439,7.122766,7.830295,7.734474,7.560599,7.111562,6.994462,7.162539,
5C_24h_map_d_b2,18.26056,18.50722,28.98808,29.82481,23.69796,15.88333,15.96928,25.58572,9.899127,7.721733,8.550112,8.487047,7.416523,6.188136,5.636141,7.101896,
5C_48h_map_a_b2,17.49902,21.6336,32.84672,32.49731,25.4656,17.56815,15.90548,27.72173,8.046635,6.672565,7.237623,6.885834,6.438828,6.040755,4.816899,6.939824,
5C_48h_map_b_b2,16.33109,19.69635,29.54487,30.3751,24.62685,15.80825,15.60659,27.56265,7.87249,7.224631,5.830751,6.547822,8.596006,4.761952,5.361812,7.854986,
5C_48h_map_c_b2,14.05701,16.81495,26.49709,26.80154,21.46365,14.14935,14.10452,23.61768,8.119076,6.974804,7.106638,6.534948,6.32165,5.573264,4.777582,5.667543,
